row,folder,file,cdn_url,status,error
28,0028_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
28,0028_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
28,0028_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
28,0028_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
28,0028_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
28,0028_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
29,0029_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
30,0030_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,10.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,11.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,12.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,13.jpg,,fail,Shopify 406: 
31,0031_YESWOOD_Furniture_Store,14.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
32,0032_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
